"2010 SOC Code","2018 SOC Code","2018 Census Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","2010 Census Title","2010 Census Code","2018 SOC Title","2018 Census Title","O.NET.SOC.2019.Code","O.NET.SOC.2019.Title","2018 STEM Category","education_stw_2010","knowledge_stw_2010","rothwell_stw_2010"
"29-2099","29-9093","3550","29-2099.07","Surgical Assistants","Health Technologists and Technicians, All Other","Miscellaneous health technologists and technicians","3535","Surgical Assistants","Other healthcare practitioners and technical occupations","29-9093.00","Surgical Assistants","STEM-related","Yes","No","Non-STW"
"29-9011","19-5011","1980","29-9011.00","Occupational Health and Safety Specialists","Occupational Health and Safety Specialists","Other healthcare practitioners and technical occupations","3540","Occupational Health and Safety Specialists","Occupational health and safety specialists and technicians","19-5011.00","Occupational Health and Safety Specialists","Non-STEM","No","Yes","Non-STW"
"29-9012","19-5012","1980","29-9012.00","Occupational Health and Safety Technicians","Occupational Health and Safety Technicians","Other healthcare practitioners and technical occupations","3540","Occupational Health and Safety Technicians","Occupational health and safety specialists and technicians","19-5012.00","Occupational Health and Safety Technicians","Non-STEM","No","Yes","Non-STW"
"29-9091","29-9091","3550","29-9091.00","Athletic Trainers","Athletic Trainers","Other healthcare practitioners and technical occupations","3540","Athletic Trainers","Other healthcare practitioners and technical occupations","29-9091.00","Athletic Trainers","STEM-related","No","Yes","Non-STW"
"29-9092","29-9092","3550","29-9092.00","Genetic Counselors","Genetic Counselors","Other healthcare practitioners and technical occupations","3540","Genetic Counselors","Other healthcare practitioners and technical occupations","29-9092.00","Genetic Counselors","STEM-related","No","Yes","Non-STW"
"29-9099","29-9021","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Health Information Technologists and Medical Registrars","Other healthcare practitioners and technical occupations","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","STEM-related","No","Yes","Non-STW"
"29-9099","29-9093","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Surgical Assistants","Other healthcare practitioners and technical occupations","29-9021.00","Health Information Technologists and Medical Registrars","STEM-related","No","Yes","Non-STW"
"29-9099","29-9099","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","29-9021.00","Health Information Technologists and Medical Registrars","STEM-related","No","Yes","Non-STW"
"29-9099","29-9099","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","29-9093.00","Surgical Assistants","STEM-related","No","Yes","Non-STW"
"29-9099","29-9099","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","STEM-related","No","Yes","Non-STW"
"29-9099","29-9021","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Health Information Technologists and Medical Registrars","Other healthcare practitioners and technical occupations","29-9093.00","Surgical Assistants","STEM-related","No","Yes","Non-STW"
"29-9099","29-9093","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Surgical Assistants","Other healthcare practitioners and technical occupations","29-9093.00","Surgical Assistants","STEM-related","No","Yes","Non-STW"
"29-9099","29-9021","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Health Information Technologists and Medical Registrars","Other healthcare practitioners and technical occupations","29-9021.00","Health Information Technologists and Medical Registrars","STEM-related","No","Yes","Non-STW"
"29-9099","29-9099","3550","29-9099.01","Midwives","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","29-9099.01","Midwives","STEM-related","No","Yes","Non-STW"
"29-9099","29-9093","3550","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other","Other healthcare practitioners and technical occupations","3540","Surgical Assistants","Other healthcare practitioners and technical occupations","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","STEM-related","No","Yes","Non-STW"
"31-1011","31-1121","3601","31-1011.00","Home Health Aides","Home Health Aides","Nursing, psychiatric, and home health aides","3600","Home Health Aides","Home health aides","31-1121.00","Home Health Aides","Non-STEM","Yes","No","Non-STW"
"31-1013","31-1133","3605","31-1013.00","Psychiatric Aides","Psychiatric Aides","Nursing, psychiatric, and home health aides","3600","Psychiatric Aides","Orderlies and psychiatric aides","31-1133.00","Psychiatric Aides","Non-STEM","Yes","No","Non-STW"
"31-1014","31-1131","3603","31-1014.00","Nursing Assistants","Nursing Assistants","Nursing, psychiatric, and home health aides","3600","Nursing Assistants","Nursing assistants","31-1131.00","Nursing Assistants","Non-STEM","Yes","No","Non-STW"
"31-1015","31-1132","3605","31-1015.00","Orderlies","Orderlies","Nursing, psychiatric, and home health aides","3600","Orderlies","Orderlies and psychiatric aides","31-1132.00","Orderlies","Non-STEM","Yes","No","Non-STW"
"31-2011","31-2011","3610","31-2011.00","Occupational Therapy Assistants","Occupational Therapy Assistants","Occupational therapy assistants and aides","3610","Occupational Therapy Assistants","Occupational therapy assistants and aides","31-2011.00","Occupational Therapy Assistants","Non-STEM","Yes","No","Non-STW"
"31-2012","31-2012","3610","31-2012.00","Occupational Therapy Aides","Occupational Therapy Aides","Occupational therapy assistants and aides","3610","Occupational Therapy Aides","Occupational therapy assistants and aides","31-2012.00","Occupational Therapy Aides","Non-STEM","Yes","No","Non-STW"
"31-2021","31-2021","3620","31-2021.00","Physical Therapist Assistants","Physical Therapist Assistants","Physical therapist assistants and aides","3620","Physical Therapist Assistants","Physical therapist assistants and aides","31-2021.00","Physical Therapist Assistants","Non-STEM","Yes","No","Non-STW"
"31-2022","31-2022","3620","31-2022.00","Physical Therapist Aides","Physical Therapist Aides","Physical therapist assistants and aides","3620","Physical Therapist Aides","Physical therapist assistants and aides","31-2022.00","Physical Therapist Aides","Non-STEM","Yes","No","Non-STW"
"31-9011","31-9011","3630","31-9011.00","Massage Therapists","Massage Therapists","Massage therapists","3630","Massage Therapists","Massage therapists","31-9011.00","Massage Therapists","Non-STEM","Yes","No","Non-STW"
"31-9091","31-9091","3640","31-9091.00","Dental Assistants","Dental Assistants","Dental assistants","3640","Dental Assistants","Dental assistants","31-9091.00","Dental Assistants","Non-STEM","Yes","No","Non-STW"
"31-9092","31-9092","3645","31-9092.00","Medical Assistants","Medical Assistants","Medical assistants","3645","Medical Assistants","Medical assistants","31-9092.00","Medical Assistants","Non-STEM","Yes","No","Non-STW"
"31-9093","31-9093","3655","31-9093.00","Medical Equipment Preparers","Medical Equipment Preparers","Healthcare support workers, all other, including medical equipment preparers","3655","Medical Equipment Preparers","Other healthcare support workers","31-9093.00","Medical Equipment Preparers","Non-STEM","Yes","No","Non-STW"
"31-9094","31-9094","3646","31-9094.00","Medical Transcriptionists","Medical Transcriptionists","Medical transcriptionists","3646","Medical Transcriptionists","Medical transcriptionists","31-9094.00","Medical Transcriptionists","Non-STEM","Yes","No","Non-STW"
"31-9095","31-9095","3647","31-9095.00","Pharmacy Aides","Pharmacy Aides","Pharmacy aides","3647","Pharmacy Aides","Pharmacy aides","31-9095.00","Pharmacy Aides","Non-STEM","Yes","No","Non-STW"
"31-9096","31-9096","3648","31-9096.00","Veterinary Assistants and Laboratory Animal Caretakers","Veterinary Assistants and Laboratory Animal Caretakers","Veterinary assistants and laboratory animal caretakers","3648","Veterinary Assistants and Laboratory Animal Caretakers","Veterinary assistants and laboratory animal caretakers","31-9096.00","Veterinary Assistants and Laboratory Animal Caretakers","Non-STEM","Yes","No","Non-STW"
"31-9097","31-9097","3649","31-9097.00","Phlebotomists","Phlebotomists","Phlebotomists","3649","Phlebotomists","Phlebotomists","31-9097.00","Phlebotomists","Non-STEM","Yes","No","Non-STW"
"31-9099","31-9099","3655","31-9099.01","Speech-Language Pathology Assistants","Healthcare Support Workers, All Other","Healthcare support workers, all other, including medical equipment preparers","3655","Healthcare Support Workers, All Other","Other healthcare support workers","31-9099.01","Speech-Language Pathology Assistants","Non-STEM","Yes","No","Non-STW"
"31-9099","31-9099","3655","31-9099.02","Endoscopy Technicians","Healthcare Support Workers, All Other","Healthcare support workers, all other, including medical equipment preparers","3655","Healthcare Support Workers, All Other","Other healthcare support workers","31-9099.02","Endoscopy Technicians","Non-STEM","Yes","No","Non-STW"
"31-9099","31-9099","3655","31-9099.00","Healthcare Support Workers, All Other","Healthcare Support Workers, All Other","Healthcare support workers, all other, including medical equipment preparers","3655","Healthcare Support Workers, All Other","Other healthcare support workers","31-9099.00","Healthcare Support Workers, All Other","Non-STEM","Yes","No","Non-STW"
"33-1011","33-1011","3700","33-1011.00","First-Line Supervisors of Correctional Officers","First-Line Supervisors of Correctional Officers","First-line supervisors of correctional officers","3700","First-Line Supervisors of Correctional Officers","First-line supervisors of correctional officers","33-1011.00","First-Line Supervisors of Correctional Officers","Non-STEM","Yes","No","Non-STW"
"33-1012","33-1012","3710","33-1012.00","First-Line Supervisors of Police and Detectives","First-Line Supervisors of Police and Detectives","First-line supervisors of police and detectives","3710","First-Line Supervisors of Police and Detectives","First-line supervisors of police and detectives","33-1012.00","First-Line Supervisors of Police and Detectives","Non-STEM","Yes","No","Non-STW"
"33-1021","33-1021","3720","33-1021.00","First-Line Supervisors of Fire Fighting and Prevention Workers","First-Line Supervisors of Fire Fighting and Prevention Workers","First-line supervisors of fire fighting and prevention workers","3720","First-Line Supervisors of Firefighting and Prevention Workers","First-line supervisors of firefighting and prevention workers","33-1021.00","First-Line Supervisors of Firefighting and Prevention Workers","Non-STEM","Yes","No","Non-STW"
"33-1021","33-1021","3720","33-1021.01","Municipal Fire Fighting and Prevention Supervisors","First-Line Supervisors of Fire Fighting and Prevention Workers","First-line supervisors of fire fighting and prevention workers","3720","First-Line Supervisors of Firefighting and Prevention Workers","First-line supervisors of firefighting and prevention workers","33-1021.00","First-Line Supervisors of Firefighting and Prevention Workers","Non-STEM","Yes","No","Non-STW"
"33-1021","33-1021","3720","33-1021.02","Forest Fire Fighting and Prevention Supervisors","First-Line Supervisors of Fire Fighting and Prevention Workers","First-line supervisors of fire fighting and prevention workers","3720","First-Line Supervisors of Firefighting and Prevention Workers","First-line supervisors of firefighting and prevention workers","33-1021.00","First-Line Supervisors of Firefighting and Prevention Workers","Non-STEM","Yes","No","Non-STW"
"33-1099","33-1091","3725","33-1099.00","First-Line Supervisors of Protective Service Workers, All Other","First-Line Supervisors of Protective Service Workers, All Other","First-line supervisors of protective service workers, all other","3730","First-Line Supervisors of Security Workers","First-line supervisors of security workers","33-1091.00","First-Line Supervisors of Security Workers","Non-STEM",NA,NA,NA
"33-1099","33-1099","3735","33-1099.00","First-Line Supervisors of Protective Service Workers, All Other","First-Line Supervisors of Protective Service Workers, All Other","First-line supervisors of protective service workers, all other","3730","First-Line Supervisors of Protective Service Workers, All Other","First-line supervisors of protective service workers, all other","33-1091.00","First-Line Supervisors of Security Workers","Non-STEM",NA,NA,NA
"33-1099","33-1091","3725","33-1099.00","First-Line Supervisors of Protective Service Workers, All Other","First-Line Supervisors of Protective Service Workers, All Other","First-line supervisors of protective service workers, all other","3730","First-Line Supervisors of Security Workers","First-line supervisors of security workers","33-1099.00","First-Line Supervisors of Protective Service Workers, All Other","Non-STEM",NA,NA,NA
"33-1099","33-1099","3735","33-1099.00","First-Line Supervisors of Protective Service Workers, All Other","First-Line Supervisors of Protective Service Workers, All Other","First-line supervisors of protective service workers, all other","3730","First-Line Supervisors of Protective Service Workers, All Other","First-line supervisors of protective service workers, all other","33-1099.00","First-Line Supervisors of Protective Service Workers, All Other","Non-STEM",NA,NA,NA
"33-2011","33-2011","3740","33-2011.00","Firefighters","Firefighters","Firefighters","3740","Firefighters","Firefighters","33-2011.00","Firefighters","Non-STEM","Yes","Yes","STW"
"33-2011","33-2011","3740","33-2011.01","Municipal Firefighters","Firefighters","Firefighters","3740","Firefighters","Firefighters","33-2011.00","Firefighters","Non-STEM","Yes","Yes","STW"
"33-2011","33-2011","3740","33-2011.02","Forest Firefighters","Firefighters","Firefighters","3740","Firefighters","Firefighters","33-2011.00","Firefighters","Non-STEM","Yes","Yes","STW"
"33-2021","33-2021","3750","33-2021.01","Fire Inspectors","Fire Inspectors and Investigators","Fire inspectors","3750","Fire Inspectors and Investigators","Fire inspectors","33-2021.00","Fire Inspectors and Investigators","Non-STEM","Yes","No","Non-STW"
"33-2021","33-2021","3750","33-2021.02","Fire Investigators","Fire Inspectors and Investigators","Fire inspectors","3750","Fire Inspectors and Investigators","Fire inspectors","33-2021.00","Fire Inspectors and Investigators","Non-STEM","Yes","No","Non-STW"
"33-2021","33-2021","3750","33-2021.00","Fire Inspectors and Investigators","Fire Inspectors and Investigators","Fire inspectors","3750","Fire Inspectors and Investigators","Fire inspectors","33-2021.00","Fire Inspectors and Investigators","Non-STEM","Yes","No","Non-STW"
"33-2022","33-2022","3750","33-2022.00","Forest Fire Inspectors and Prevention Specialists","Forest Fire Inspectors and Prevention Specialists","Fire inspectors","3750","Forest Fire Inspectors and Prevention Specialists","Fire inspectors","33-2022.00","Forest Fire Inspectors and Prevention Specialists","Non-STEM","Yes","No","Non-STW"
"33-3011","33-3011","3801","33-3011.00","Bailiffs","Bailiffs","Bailiffs, correctional officers, and jailers","3800","Bailiffs","Bailiffs","33-3011.00","Bailiffs","Non-STEM","Yes","No","Non-STW"
"33-3012","33-3012","3802","33-3012.00","Correctional Officers and Jailers","Correctional Officers and Jailers","Bailiffs, correctional officers, and jailers","3800","Correctional Officers and Jailers","Correctional officers and jailers","33-3012.00","Correctional Officers and Jailers","Non-STEM","Yes","No","Non-STW"
"33-3021","33-3021","3820","33-3021.06","Intelligence Analysts","Detectives and Criminal Investigators","Detectives and criminal investigators","3820","Detectives and Criminal Investigators","Detectives and criminal investigators","33-3021.06","Intelligence Analysts","Non-STEM","Yes","No","Non-STW"
"33-3021","33-3021","3820","33-3021.02","Police Identification and Records Officers","Detectives and Criminal Investigators","Detectives and criminal investigators","3820","Detectives and Criminal Investigators","Detectives and criminal investigators","33-3021.02","Police Identification and Records Officers","Non-STEM","Yes","No","Non-STW"
"33-3021","33-3051","3870","33-3021.05","Immigration and Customs Inspectors","Detectives and Criminal Investigators","Detectives and criminal investigators","3820","Police and Sheriff's Patrol Officers","Police officers","33-3051.04","Customs and Border Protection Officers","Non-STEM","Yes","No","Non-STW"
"33-3021","33-3021","3820","33-3021.00","Detectives and Criminal Investigators","Detectives and Criminal Investigators","Detectives and criminal investigators","3820","Detectives and Criminal Investigators","Detectives and criminal investigators","33-3021.00","Detectives and Criminal Investigators","Non-STEM","Yes","No","Non-STW"
"33-3021","33-3021","3820","33-3021.03","Criminal Investigators and Special Agents","Detectives and Criminal Investigators","Detectives and criminal investigators","3820","Detectives and Criminal Investigators","Detectives and criminal investigators","33-3021.00","Detectives and Criminal Investigators","Non-STEM","Yes","No","Non-STW"
"33-3021","33-3021","3820","33-3021.01","Police Detectives","Detectives and Criminal Investigators","Detectives and criminal investigators","3820","Detectives and Criminal Investigators","Detectives and criminal investigators","33-3021.00","Detectives and Criminal Investigators","Non-STEM","Yes","No","Non-STW"
"33-3031","33-3031","3830","33-3031.00","Fish and Game Wardens","Fish and Game Wardens","Fish and game wardens","3830","Fish and Game Wardens","Fish and game wardens","33-3031.00","Fish and Game Wardens","Non-STEM","No","Yes","Non-STW"
"33-3041","33-3041","3840","33-3041.00","Parking Enforcement Workers","Parking Enforcement Workers","Parking enforcement workers","3840","Parking Enforcement Workers","Parking enforcement workers","33-3041.00","Parking Enforcement Workers","Non-STEM","Yes","No","Non-STW"
"33-3051","33-3051","3870","33-3051.01","Police Patrol Officers","Police and Sheriff's Patrol Officers","Police and sheriff's patrol officers","3850","Police and Sheriff's Patrol Officers","Police officers","33-3051.00","Police and Sheriff's Patrol Officers","Non-STEM","Yes","No","Non-STW"
"33-3051","33-3051","3870","33-3051.00","Police and Sheriff's Patrol Officers","Police and Sheriff's Patrol Officers","Police and sheriff's patrol officers","3850","Police and Sheriff's Patrol Officers","Police officers","33-3051.00","Police and Sheriff's Patrol Officers","Non-STEM","Yes","No","Non-STW"
"33-3051","33-3051","3870","33-3051.03","Sheriffs and Deputy Sheriffs","Police and Sheriff's Patrol Officers","Police and sheriff's patrol officers","3850","Police and Sheriff's Patrol Officers","Police officers","33-3051.00","Police and Sheriff's Patrol Officers","Non-STEM","Yes","No","Non-STW"
"33-3052","33-3052","3870","33-3052.00","Transit and Railroad Police","Transit and Railroad Police","Transit and railroad police","3860","Transit and Railroad Police","Police officers","33-3052.00","Transit and Railroad Police","Non-STEM","Yes","No","Non-STW"
"33-9011","33-9011","3900","33-9011.00","Animal Control Workers","Animal Control Workers","Animal control workers","3900","Animal Control Workers","Animal control workers","33-9011.00","Animal Control Workers","Non-STEM","Yes","No","Non-STW"
"33-9021","33-9021","3910","33-9021.00","Private Detectives and Investigators","Private Detectives and Investigators","Private detectives and investigators","3910","Private Detectives and Investigators","Private detectives and investigators","33-9021.00","Private Detectives and Investigators","Non-STEM","Yes","No","Non-STW"
"33-9031","33-9031","3930","33-9031.00","Gaming Surveillance Officers and Gaming Investigators","Gaming Surveillance Officers and Gaming Investigators","Security guards and gaming surveillance officers","3930","Gambling Surveillance Officers and Gambling Investigators","Security guards and gambling surveillance officers","33-9031.00","Gambling Surveillance Officers and Gambling Investigators","Non-STEM","Yes","No","Non-STW"
"33-9032","33-9032","3930","33-9032.00","Security Guards","Security Guards","Security guards and gaming surveillance officers","3930","Security Guards","Security guards and gambling surveillance officers","33-9032.00","Security Guards","Non-STEM","Yes","No","Non-STW"
"33-9091","33-9091","3940","33-9091.00","Crossing Guards","Crossing Guards","Crossing guards","3940","Crossing Guards and Flaggers","Crossing guards and flaggers","33-9091.00","Crossing Guards and Flaggers","Non-STEM","Yes","No","Non-STW"
"33-9092","33-9092","3960","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards and other recreational, and all other protective service workers","3955","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Other protective service workers","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Non-STEM","Yes","No","Non-STW"
"33-9093","33-9093","3945","33-9093.00","Transportation Security Screeners","Transportation Security Screeners","Transportation security screeners","3945","Transportation Security Screeners","Transportation security screeners","33-9093.00","Transportation Security Screeners","Non-STEM","Yes","No","Non-STW"
"33-9099","33-9099","3960","33-9099.02","Retail Loss Prevention Specialists","Protective Service Workers, All Other","Lifeguards and other recreational, and all other protective service workers","3955","Protective Service Workers, All Other","Other protective service workers","33-9099.02","Retail Loss Prevention Specialists","Non-STEM","Yes","No","Non-STW"
"33-9099","33-9099","3960","33-9099.00","Protective Service Workers, All Other","Protective Service Workers, All Other","Lifeguards and other recreational, and all other protective service workers","3955","Protective Service Workers, All Other","Other protective service workers","33-9099.00","Protective Service Workers, All Other","Non-STEM","Yes","No","Non-STW"
"33-9099","33-9099","3960","33-9099.00","Protective Service Workers, All Other","Protective Service Workers, All Other","Lifeguards and other recreational, and all other protective service workers","3955","Protective Service Workers, All Other","Other protective service workers","33-9094.00","School Bus Monitors","Non-STEM","Yes","No","Non-STW"
"33-9099","33-9094","3946","33-9099.00","Protective Service Workers, All Other","Protective Service Workers, All Other","Lifeguards and other recreational, and all other protective service workers","3955","School Bus Monitors","School bus monitors","33-9094.00","School Bus Monitors","Non-STEM","Yes","No","Non-STW"
"33-9099","33-9094","3946","33-9099.00","Protective Service Workers, All Other","Protective Service Workers, All Other","Lifeguards and other recreational, and all other protective service workers","3955","School Bus Monitors","School bus monitors","33-9099.00","Protective Service Workers, All Other","Non-STEM","Yes","No","Non-STW"
"35-1011","35-1011","4000","35-1011.00","Chefs and Head Cooks","Chefs and Head Cooks","Chefs and head cooks","4000","Chefs and Head Cooks","Chefs and head cooks","35-1011.00","Chefs and Head Cooks","Non-STEM","Yes","Yes","STW"
"35-1012","35-1012","4010","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers","First-Line Supervisors of Food Preparation and Serving Workers","First-line supervisors of food preparation and serving workers","4010","First-Line Supervisors of Food Preparation and Serving Workers","First-line supervisors of food preparation and serving workers","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers","Non-STEM","Yes","No","Non-STW"
"35-2011","35-2011","4020","35-2011.00","Cooks, Fast Food","Cooks, Fast Food","Cooks","4020","Cooks, Fast Food","Cooks","35-2011.00","Cooks, Fast Food","Non-STEM","Yes","No","Non-STW"
"35-2012","35-2012","4020","35-2012.00","Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria","Cooks","4020","Cooks, Institution and Cafeteria","Cooks","35-2012.00","Cooks, Institution and Cafeteria","Non-STEM","Yes","No","Non-STW"
"35-2013","35-2013","4020","35-2013.00","Cooks, Private Household","Cooks, Private Household","Cooks","4020","Cooks, Private Household","Cooks","35-2013.00","Cooks, Private Household","Non-STEM","Yes","No","Non-STW"
"35-2014","35-2014","4020","35-2014.00","Cooks, Restaurant","Cooks, Restaurant","Cooks","4020","Cooks, Restaurant","Cooks","35-2014.00","Cooks, Restaurant","Non-STEM","Yes","No","Non-STW"
"35-2015","35-2015","4020","35-2015.00","Cooks, Short Order","Cooks, Short Order","Cooks","4020","Cooks, Short Order","Cooks","35-2015.00","Cooks, Short Order","Non-STEM","Yes","No","Non-STW"
"35-2019","35-2019","4020","35-2019.00","Cooks, All Other","Cooks, All Other","Cooks","4020","Cooks, All Other","Cooks","35-2019.00","Cooks, All Other","Non-STEM",NA,NA,NA
"35-2021","35-2021","4030","35-2021.00","Food Preparation Workers","Food Preparation Workers","Food preparation workers","4030","Food Preparation Workers","Food preparation workers","35-2021.00","Food Preparation Workers","Non-STEM","Yes","No","Non-STW"
"35-3011","35-3011","4040","35-3011.00","Bartenders","Bartenders","Bartenders","4040","Bartenders","Bartenders","35-3011.00","Bartenders","Non-STEM","Yes","No","Non-STW"
"35-3021","35-3023","4055","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food","Combined Food Preparation and Serving Workers, Including Fast Food","Combined food preparation and serving workers, including fast food","4050","Fast Food and Counter Workers","Fast food and counter workers","35-3023.00","Fast Food and Counter Workers","Non-STEM","Yes","No","Non-STW"
"35-3022","35-3023","4055","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","Counter attendants, cafeteria, food concession, and coffee shop","4060","Fast Food and Counter Workers","Fast food and counter workers","35-3023.00","Fast Food and Counter Workers","Non-STEM","Yes","No","Non-STW"
"35-3022","35-3023","4055","35-3022.01","Baristas","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","Counter attendants, cafeteria, food concession, and coffee shop","4060","Fast Food and Counter Workers","Fast food and counter workers","35-3023.01","Baristas","Non-STEM","Yes","No","Non-STW"
"35-3031","35-3031","4110","35-3031.00","Waiters and Waitresses","Waiters and Waitresses","Waiters and waitresses","4110","Waiters and Waitresses","Waiters and waitresses","35-3031.00","Waiters and Waitresses","Non-STEM","Yes","No","Non-STW"
"35-3041","35-3041","4120","35-3041.00","Food Servers, Nonrestaurant","Food Servers, Nonrestaurant","Food servers, nonrestaurant","4120","Food Servers, Nonrestaurant","Food servers, nonrestaurant","35-3041.00","Food Servers, Nonrestaurant","Non-STEM","Yes","No","Non-STW"
"35-9011","35-9011","4130","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","Dining Room and Cafeteria Attendants and Bartender Helpers","Dining room and cafeteria attendants and bartender helpers","4130","Dining Room and Cafeteria Attendants and Bartender Helpers","Dining room and cafeteria attendants and bartender helpers","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","Non-STEM","Yes","No","Non-STW"
"35-9021","35-9021","4140","35-9021.00","Dishwashers","Dishwashers","Dishwashers","4140","Dishwashers","Dishwashers","35-9021.00","Dishwashers","Non-STEM","Yes","No","Non-STW"
"35-9031","35-9031","4150","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts and hostesses, restaurant, lounge, and coffee shop","4150","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts and hostesses, restaurant, lounge, and coffee shop","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Non-STEM","Yes","No","Non-STW"
"35-9099","35-9099","4160","35-9099.00","Food Preparation and Serving Related Workers, All Other","Food Preparation and Serving Related Workers, All Other","Food preparation and serving related workers, all other","4160","Food Preparation and Serving Related Workers, All Other","Food preparation and serving related workers, all other","35-9099.00","Food Preparation and Serving Related Workers, All Other","Non-STEM",NA,NA,NA
"37-1011","37-1011","4200","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers","First-Line Supervisors of Housekeeping and Janitorial Workers","First-line supervisors of housekeeping and janitorial workers","4200","First-Line Supervisors of Housekeeping and Janitorial Workers","First-line supervisors of housekeeping and janitorial workers","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers","Non-STEM","Yes","No","Non-STW"
"37-1012","37-1012","4210","37-1012.00","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","First-line supervisors of landscaping, lawn service, and groundskeeping workers","4210","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","First-line supervisors of landscaping, lawn service, and groundskeeping workers","37-1012.00","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","Non-STEM","Yes","No","Non-STW"
"37-2011","37-2011","4220","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and building cleaners","4220","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and building cleaners","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Non-STEM","Yes","No","Non-STW"
"37-2012","37-2012","4230","37-2012.00","Maids and Housekeeping Cleaners","Maids and Housekeeping Cleaners","Maids and housekeeping cleaners","4230","Maids and Housekeeping Cleaners","Maids and housekeeping cleaners","37-2012.00","Maids and Housekeeping Cleaners","Non-STEM","Yes","No","Non-STW"
"37-2019","37-2019","4220","37-2019.00","Building Cleaning Workers, All Other","Building Cleaning Workers, All Other","Janitors and building cleaners","4220","Building Cleaning Workers, All Other","Janitors and building cleaners","37-2019.00","Building Cleaning Workers, All Other","Non-STEM",NA,NA,NA
"37-2021","37-2021","4240","37-2021.00","Pest Control Workers","Pest Control Workers","Pest control workers","4240","Pest Control Workers","Pest control workers","37-2021.00","Pest Control Workers","Non-STEM","Yes","No","Non-STW"
"37-3011","37-3011","4251","37-3011.00","Landscaping and Groundskeeping Workers","Landscaping and Groundskeeping Workers","Grounds maintenance workers","4250","Landscaping and Groundskeeping Workers","Landscaping and groundskeeping workers","37-3011.00","Landscaping and Groundskeeping Workers","Non-STEM","Yes","No","Non-STW"
